epoch,threshold,target_accuracy,pseudo_accuracy,coverage,reliable_count,target_count,reliability_mean,alignment_active
1.0,0.0,0.459536436849342,0.487821646042035,1.0,10182.0,10182.0,0.2672794426043531,0.0
1.0,0.05,0.459536436849342,0.4886475814412636,0.9948929483402082,10130.0,10182.0,0.2672794426043531,0.0
1.0,0.1,0.459536436849342,0.5008545182653279,0.9194657238263603,9362.0,10182.0,0.2672794426043531,0.0
1.0,0.15,0.459536436849342,0.5110788231020704,0.8111373011196229,8259.0,10182.0,0.2672794426043531,0.0
1.0,0.2,0.459536436849342,0.5163036473772393,0.7620310351600864,7759.0,10182.0,0.2672794426043531,0.0
1.0,0.25,0.459536436849342,0.5455330168321105,0.6826753093694755,6951.0,10182.0,0.2672794426043531,0.0
1.0,0.3,0.459536436849342,0.6438651509212073,0.5010803378511098,5102.0,10182.0,0.2672794426043531,0.0
1.0,0.35,0.459536436849342,0.578688524590164,0.17972893341190335,1830.0,10182.0,0.2672794426043531,0.0
1.0,0.4,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
1.0,0.45,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
1.0,0.5,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
1.0,0.55,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
1.0,0.6,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
1.0,0.65,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
1.0,0.7,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
1.0,0.75,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
1.0,0.8,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
1.0,0.85,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
1.0,0.9,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
1.0,0.95,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
1.0,1.0,0.459536436849342,nan,0.0,0.0,10182.0,0.2672794426043531,0.0
2.0,0.0,0.560695344725987,0.525535258298959,1.0,10182.0,10182.0,0.6459436980658783,0.0
2.0,0.05,0.560695344725987,0.5240213523131673,0.9935179728933412,10116.0,10182.0,0.6459436980658783,0.0
2.0,0.1,0.560695344725987,0.5456049638055843,0.9497151836574347,9670.0,10182.0,0.6459436980658783,0.0
2.0,0.15,0.560695344725987,0.5517277930888277,0.9265370261245335,9434.0,10182.0,0.6459436980658783,0.0
2.0,0.2,0.560695344725987,0.5663441218996774,0.8830288744843842,8991.0,10182.0,0.6459436980658783,0.0
2.0,0.25,0.560695344725987,0.5778952205882353,0.8548418778236103,8704.0,10182.0,0.6459436980658783,0.0
2.0,0.3,0.560695344725987,0.5832742735648476,0.8314672952268709,8466.0,10182.0,0.6459436980658783,0.0
2.0,0.35,0.560695344725987,0.589264027204275,0.808681987821646,8234.0,10182.0,0.6459436980658783,0.0
2.0,0.4,0.560695344725987,0.5964125560538116,0.788450206246317,8028.0,10182.0,0.6459436980658783,0.0
2.0,0.45,0.560695344725987,0.601350490508345,0.770870163032803,7849.0,10182.0,0.6459436980658783,0.0
2.0,0.5,0.560695344725987,0.6052903225806452,0.7611471223728148,7750.0,10182.0,0.6459436980658783,0.0
2.0,0.55,0.560695344725987,0.6067961165048543,0.7485759182871734,7622.0,10182.0,0.6459436980658783,0.0
